,metascore,name,userscore,name_new
0,97,Grand Theft Auto V,8.3,grandtheftautov
1,97,Grand Theft Auto V,8.3,grandtheftautov
2,95,The Last of Us,9.2,thelastofus
3,94,BioShock Infinite,8.5,bioshockinfinite
4,94,BioShock Infinite,8.6,bioshockinfinite
5,93,BioShock Infinite,8.5,bioshockinfinite
6,93,Super Mario 3D World,8.9,supermario3dworld
7,92,Fire Emblem: Awakening,9.1,fireemblem awakening
8,92,Rayman Legends,8.7,raymanlegends
9,91,Fez,6.7,fez
10,91,Rayman Legends,8.7,raymanlegends
11,91,The Legend of Zelda: A Link Between Worlds,9.0,thelegendofzelda alinkbetweenworlds
12,91,flower,7.2,flower
13,90,Spelunky,7.3,spelunky
14,90,The Legend of Zelda: The Wind Waker HD,8.9,thelegendofzelda thewindwakerhd
15,90,Brothers: A Tale of Two Sons,8.6,brothers ataleoftwosons
16,90,Dota 2,6.5,dota2
17,90,Rayman Legends,8.2,raymanlegends
18,89,Skylanders Swap Force,6.1,skylandersswapforce
19,89,Rocksmith 2014 Edition,7.9,rocksmith2014edition
20,88,Spelunky,7.9,spelunky
21,88,Deus Ex: Human Revolution - Director's Cut,8.5,deusex humanrevolution director scut
22,88,Crusader Kings II: The Old Gods,8.7,crusaderkingsii theoldgods
23,88,FIFA 14,5.8,fifa14
24,88,Assassin's Creed IV: Black Flag,8.2,assassin screediv blackflag
25,88,Star Wars Pinball: Balance of the Force,6.1,starwarspinball balanceoftheforce
26,88,XCOM: Enemy Within,7.6,xcom enemywithin
27,88,Pokemon Y,8.6,pokemony
28,88,The Stanley Parable,8.0,thestanleyparable
29,88,Guacamelee! Gold Edition,7.3,guacamelee goldedition
30,88,Animal Crossing: New Leaf,8.7,animalcrossing newleaf
31,87,Rocksmith 2014 Edition,7.5,rocksmith2014edition
32,87,Pokemon X,8.6,pokemonx
33,87,Guacamelee!,8.3,guacamelee 
34,87,The Swapper,8.7,theswapper
35,87,Tomb Raider,8.4,tombraider
36,87,Rayman Legends,8.4,raymanlegends
37,87,Tearaway,8.9,tearaway
38,87,MLB 13: The Show,7.9,mlb13 theshow
