,game_global_ranking,game_title,console,year_of_release,genre,publisher,northamerican_sales,europe_sales,japan_sales,othercontry_sales,world_sales,game_title_normalized
0,1,wii sports,wii,2006,sports,nintendo,41.49,29.02,3.77,8.46,82.74 ,wiisports
1,2,super mario bros.,nes,1985,platform,nintendo,29.08,3.58,6.81,0.77,40.24 ,supermariobros 
2,3,mario kart wii,wii,2008,racing,nintendo,15.85,12.88,3.79,3.31,35.82 ,mariokartwii
3,4,wii sports resort,wii,2009,sports,nintendo,15.75,11.01,3.28,2.96,33 ,wiisportsresort
4,5,pokemon red/pokemon blue,gb,1996,role-playing,nintendo,11.27,8.89,10.22,1.0,31.37 ,pokemonred pokemonblue
5,6,tetris,gb,1989,puzzle,nintendo,23.2,2.26,4.22,0.58,30.26 ,tetris
6,7,new super mario bros.,ds,2006,platform,nintendo,11.38,9.23,6.5,2.9,30.01 ,newsupermariobros 
7,8,wii play,wii,2006,misc,nintendo,14.03,9.2,2.93,2.85,29.02 ,wiiplay
8,9,new super mario bros. wii,wii,2009,platform,nintendo,14.59,7.06,4.7,2.26,28.62 ,newsupermariobros wii
9,10,duck hunt,nes,1984,shooter,nintendo,26.93,0.63,0.28,0.47,28.31 ,duckhunt
10,11,nintendogs,ds,2005,simulation,nintendo,9.07,11.0,1.93,2.75,24.76 ,nintendogs
11,12,mario kart ds,ds,2005,racing,nintendo,9.81,7.57,4.13,1.92,23.42 ,mariokartds
12,13,pokemon gold/pokemon silver,gb,1999,role-playing,nintendo,9.0,6.18,7.2,0.71,23.1 ,pokemongold pokemonsilver
13,14,wii fit,wii,2007,sports,nintendo,8.94,8.03,3.6,2.15,22.72 ,wiifit
14,15,wii fit plus,wii,2009,sports,nintendo,9.09,8.59,2.53,1.79,22 ,wiifitplus
15,16,kinect adventures!,x360,2010,misc,microsoft game studios,14.97,4.94,0.24,1.67,21.82 ,kinectadventures 
16,17,grand theft auto v,ps3,2013,action,take-two interactive,7.01,9.27,0.97,4.14,21.4 ,grandtheftautov
